"Time of Event";"Server ID";"Rank";"CPU";;"Latency";"Request Serving Time"
160;0;264.6866828624;5.0512429828;;10.791298;3.055171
160;0;265.1866828624;5.0512429828;;10.791298;2.771533
160;1;259.8818706251;31.9839872468;;56.77654;38.790732
160;0;265.6866828624;5.0512429828;;10.791298;3.068699
160;0;266.1866828624;5.0512429828;;10.791298;2.98986
160;1;260.3818706251;31.9839872468;;56.77654;40.045177
160;1;259.3818706251;31.9839872468;;56.77654;47.962776
160;0;266.6866828624;5.0512429828;;10.791298;2.953472
160;1;260.8818706251;31.9839872468;;56.77654;34.65326
160;0;267.1866828624;5.0512429828;;10.791298;3.131212
160;1;261.3818706251;31.9839872468;;56.77654;37.959879
160;1;261.8818706251;31.9839872468;;56.77654;34.207277
160;0;268.1866828624;5.0512429828;;10.791298;2.700157
160;0;267.6866828624;5.0512429828;;10.791298;3.320148
160;1;262.3818706251;31.9839872468;;56.77654;38.574739
160;1;262.8818706251;31.9839872468;;56.77654;34.942962
160;0;268.6866828624;5.0512429828;;10.791298;4.137473
160;0;269.1866828624;5.0512429828;;10.791298;3.296356
160;1;264.3818706251;31.9839872468;;56.77654;34.526835
160;1;263.3818706251;31.9839872468;;56.77654;37.083774
160;0;269.6866828624;5.0512429828;;10.791298;3.501154
160;1;264.8818706251;31.9839872468;;56.77654;34.243664
160;1;264.3818706251;31.9839872468;;56.77654;39.602459
160;1;265.3818706251;31.9839872468;;56.77654;37.303967
160;1;265.8818706251;31.9839872468;;56.77654;38.000466
160;1;266.3818706251;31.9839872468;;56.77654;34.221739
160;1;267.3818706251;31.9839872468;;56.77654;34.847328
160;1;266.8818706251;31.9839872468;;56.77654;38.61066
160;1;268.3818706251;31.9839872468;;56.77654;36.293041
160;1;267.8818706251;31.9839872468;;56.77654;45.17958
160;1;269.3818706251;31.9839872468;;56.77654;36.969013
160;1;268.8818706251;31.9839872468;;56.77654;46.211033
161;0;270.1866828624;5.0512429828;;10.791298;3.113951
161;0;270.6866828624;5.0512429828;;10.791298;2.999656
161;0;271.1866828624;5.0512429828;;10.791298;2.764069
161;0;271.6866828624;5.0512429828;;10.791298;3.134478
161;0;272.1866828624;5.0512429828;;10.791298;3.035577
161;0;272.6866828624;5.0512429828;;10.791298;2.895158
161;0;273.1866828624;5.0512429828;;10.791298;2.957671
161;0;273.6866828624;5.0512429828;;10.791298;2.990793
161;0;274.1866828624;5.0512429828;;10.791298;2.953938
161;0;274.6866828624;5.0512429828;;10.791298;2.883028
161;0;275.1866828624;5.0512429828;;10.791298;3.15687
161;0;275.6866828624;5.0512429828;;10.791298;3.241775
161;1;270.3818706251;31.9839872468;;56.77654;40.802788
161;0;276.1866828624;5.0512429828;;10.791298;3.055171
161;0;276.6866828624;5.0512429828;;10.791298;3.173664
161;1;270.8818706251;31.9839872468;;56.77654;42.746267
161;1;271.3818706251;31.9839872468;;56.77654;39.204527
161;0;277.1866828624;5.0512429828;;10.791298;3.125614
161;0;277.6866828624;5.0512429828;;10.791298;3.066367
161;1;270.3818706251;31.9839872468;;56.77654;52.985218
161;1;271.8818706251;31.9839872468;;56.77654;41.881825
161;0;278.1866828624;5.0512429828;;10.791298;3.124681
161;1;273.3818706251;31.9839872468;;56.77654;35.010606
161;0;278.6866828624;5.0512429828;;10.791298;2.753339
161;0;279.1866828624;5.0512429828;;10.791298;3.039309
161;1;273.8818706251;31.9839872468;;56.77654;39.344946
161;0;279.6866828624;5.0512429828;;10.791298;2.934345
161;1;274.3818706251;31.9839872468;;56.77654;37.913228
161;0;280.1866828624;5.0512429828;;10.791298;3.080828
161;1;272.3818706251;31.9839872468;;56.77654;53.686848
161;0;280.6866828624;5.0512429828;;10.791298;3.558534
161;1;272.8818706251;31.9839872468;;56.77654;55.768413
161;1;275.3818706251;31.9839872468;;56.77654;37.242854
161;0;281.1866828624;5.0512429828;;10.791298;3.036043
161;1;274.8818706251;31.9839872468;;56.77654;45.49914
161;0;281.6866828624;5.0512429828;;10.791298;3.270698
161;1;275.8818706251;31.9839872468;;56.77654;41.611716
161;1;278.8818706251;31.9839872468;;56.77654;22.57113
161;0;282.1866828624;5.0512429828;;10.791298;3.172265
